"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","valencia","2020-08-30",4620,"LA MALVA-ROSA",39.47553,-0.32461,"Entire townhouse","Entire home/apt",7,4,6,"$121.00",2,365,20,114.5,1145
"2","valencia","2020-08-30",48154,"MORVEDRE",39.48575,-0.37428,"Entire apartment","Entire home/apt",4,2,2,"$51.00",3,15,30,NA,0
"3","valencia","2020-08-30",55692,"LA SEU",39.47681,-0.37523,"Entire apartment","Entire home/apt",3,1,1,"$100.00",1,730,0,100,3000
"4","valencia","2020-08-30",95393,"EL CARME",39.47787,-0.38142,"Entire apartment","Entire home/apt",6,3,6,"$136.86",1,14,23,139.714285714286,978
"5","valencia","2020-08-30",100347,"ARRANCAPINS",39.45965,-0.38453,"Entire apartment","Entire home/apt",6,3,3,"$104.00",5,10,0,103.333333333333,3100
"6","valencia","2020-08-30",102524,"CABANYAL-CANYAMELAR",39.47209,-0.33098,"Entire house","Entire home/apt",16,5,16,"$393.00",1,1125,16,430.357142857143,6025
"7","valencia","2020-08-30",103386,"EL PILAR",39.47591,-0.38243,"Entire serviced apartment","Entire home/apt",5,2,3,"$88.00",1,14,29,84,84
"8","valencia","2020-08-30",121035,"SANT FRANCESC",39.47156,-0.37603,"Private room in house","Private room",2,1,1,"$37.00",1,30,19,37,407
"9","valencia","2020-08-30",129331,"LA ROQUETA",39.46848,-0.38074,"Entire apartment","Entire home/apt",2,1,1,"$55.00",5,150,27,55,165
"10","valencia","2020-08-30",136378,"EL MERCAT",39.47387,-0.3777,"Entire condominium","Entire home/apt",3,1,0,"$75.00",5,90,8,75,1650
"11","valencia","2020-08-30",137737,"LA PETXINA",39.46992,-0.39093,"Entire apartment","Entire home/apt",2,1,1,"$55.00",2,20,29,55,55
"12","valencia","2020-08-30",146771,"EN CORTS",39.45624,-0.36809,"Private room in house","Private room",2,1,1,"$32.00",2,1125,18,32,384
"13","valencia","2020-08-30",147548,"MONT-OLIVET",39.46195,-0.36063,"Entire apartment","Entire home/apt",11,4,9,"$303.00",2,330,0,300.666666666667,9020
"14","valencia","2020-08-30",149715,"CABANYAL-CANYAMELAR",39.46609,-0.32673,"Entire house","Entire home/apt",10,6,7,"$175.00",3,30,25,200,1000
"15","valencia","2020-08-30",152369,"EL CARME",39.47863,-0.38219,"Entire loft","Entire home/apt",2,NA,1,"$59.71",2,365,0,59.7333333333333,1792
"16","valencia","2020-08-30",153375,"MONT-OLIVET",39.46031,-0.35974,"Entire apartment","Entire home/apt",2,1,2,"$20.00",180,1125,0,20,600
"17","valencia","2020-08-30",165971,"LA ROQUETA",39.4679,-0.38206,"Entire apartment","Entire home/apt",5,1,2,"$67.00",3,27,25,65.4,327
"18","valencia","2020-08-30",166315,"EL MERCAT",39.47237,-0.37965,"Entire apartment","Entire home/apt",4,1,4,"$80.00",5,90,0,80,2400
"19","valencia","2020-08-30",169284,"NOU MOLES",39.46759,-0.39067,"Entire apartment","Entire home/apt",3,1,1,"$36.00",1,1125,0,35.3333333333333,1060
"20","valencia","2020-08-30",182221,"LA CREU DEL GRAU",39.46167,-0.34249,"Entire apartment","Entire home/apt",6,2,5,"$100.00",1,1125,29,120,120
"21","valencia","2020-08-30",185398,"LA PETXINA",39.47398,-0.39155,"Entire apartment","Entire home/apt",8,3,8,"$120.00",2,1125,0,127.333333333333,3820
"22","valencia","2020-08-30",191651,"BENICALAP",39.49345,-0.3933,"Entire condominium","Entire home/apt",8,4,5,"$80.00",3,360,30,NA,0
"23","valencia","2020-08-30",192674,"EL CARME",39.48034,-0.37912,"Entire apartment","Entire home/apt",5,2,3,"$96.00",3,365,30,NA,0
"24","valencia","2020-08-30",193326,"CABANYAL-CANYAMELAR",39.47294,-0.32912,"Private room in apartment","Private room",2,1,2,"$34.00",1,1125,30,NA,0
"25","valencia","2020-08-30",222753,"EN CORTS",39.4578,-0.36927,"Private room in house","Private room",3,2,2,"$31.00",2,365,18,31,372
"26","valencia","2020-08-30",225070,"CABANYAL-CANYAMELAR",39.47152,-0.32993,"Private room in apartment","Private room",2,1,3,"$30.00",1,365,29,30,30
"27","valencia","2020-08-30",231347,"EL MERCAT",39.47281,-0.37767,"Entire apartment","Entire home/apt",6,2,3,"$97.00",1,1125,22,96.25,770
"28","valencia","2020-08-30",231367,"MONT-OLIVET",39.45747,-0.36805,"Entire apartment","Entire home/apt",2,1,1,"$79.00",1,1125,0,68.2666666666667,2048
"29","valencia","2020-08-30",247994,"LA MALVA-ROSA",39.48082,-0.32889,"Entire condominium","Entire home/apt",5,2,4,"$65.00",3,364,0,65,1950
"30","valencia","2020-08-30",250981,"LA CREU DEL GRAU",39.46271,-0.34266,"Entire apartment","Entire home/apt",6,2,3,"$102.00",3,365,29,130,130
"31","valencia","2020-08-30",252608,"LA SEU",39.47499,-0.3751,"Entire condominium","Entire home/apt",4,1,2,"$80.00",6,1125,28,80,160
"32","valencia","2020-08-30",260929,"EXPOSICIO",39.47686,-0.36422,"Private room in apartment","Private room",2,1,1,"$45.00",3,7,29,45,45
"33","valencia","2020-08-30",260935,"EXPOSICIO",39.47663,-0.36315,"Private room in apartment","Private room",2,1,1,"$36.00",2,21,29,35,35
"34","valencia","2020-08-30",265340,"RUSSAFA",39.46255,-0.37454,"Entire loft","Entire home/apt",2,1,1,"$85.00",2,180,30,NA,0
"35","valencia","2020-08-30",273373,"LA MALVA-ROSA",39.48183,-0.32578,"Entire townhouse","Entire home/apt",14,4,14,"$400.00",3,365,0,365,10950
