"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","girona","2020-06-29",14551,"Girona",41.9965,2.83646,"Apartment","Private room",2,1,1,"$46.00",1,1125,29,35,35
"2","girona","2020-06-29",35801,"Quart",41.95395,2.89703,"Bed and breakfast","Private room",3,1,1,"$90.00",2,180,30,NA,0
"3","girona","2020-06-29",41342,"El Port de la Selva",42.34655,3.20463,"Apartment","Entire home/apt",4,1,2,"$120.00",7,21,11,137.894736842105,2620
"4","girona","2020-06-29",45398,"Begur",41.95568,3.20892,"House","Entire home/apt",6,3,4,"$80.00",1,730,14,146.875,2350
"5","girona","2020-06-29",45400,"Begur",41.95577,3.21096,"Apartment","Entire home/apt",4,1,2,"$65.00",1,730,16,100.714285714286,1410
"6","girona","2020-06-29",48764,"Torroella de Fluvià",42.17605,3.03974,"House","Entire home/apt",8,4,5,"$120.00",7,120,17,118.461538461538,1540
"7","girona","2020-06-29",93343,"L'Escala",42.10405,3.14936,"House","Entire home/apt",7,3,5,"$150.00",2,365,28,150,300
"8","girona","2020-06-29",101580,"Lloret de Mar",41.70656,2.89015,"Villa","Entire home/apt",16,4,12,"$1,100.00",5,30,19,1010.90909090909,11120
"9","girona","2020-06-29",106704,"Llagostera",41.83631,2.937,"Farm stay","Entire home/apt",12,4,12,"$220.00",2,365,5,288.8,7220
"10","girona","2020-06-29",121666,"Torroella de Montgrí",42.00877,3.18954,"House","Entire home/apt",4,2,4,"$67.00",15,30,3,99.2592592592593,2680
"11","girona","2020-06-29",121962,"Llagostera",41.84104,2.94811,"Farm stay","Entire home/apt",16,7,16,"$490.00",2,1125,9,568.095238095238,11930
"12","girona","2020-06-29",122273,"Llagostera",41.84102,2.95118,"Farm stay","Entire home/apt",4,1,4,"$110.00",2,1125,23,110,770
"13","girona","2020-06-29",122371,"Pals",41.97454,3.17576,"House","Entire home/apt",6,3,3,"$290.00",7,47,28,265,530
"14","girona","2020-06-29",130159,"Blanes",41.6657,2.78242,"Apartment","Entire home/apt",5,2,3,"$92.00",6,28,4,92,2392
"15","girona","2020-06-29",131374,"Riudarenes",41.82069,2.71764,"House","Entire home/apt",8,4,5,"$188.00",2,30,28,220,440
"16","girona","2020-06-29",154339,"Lloret de Mar",41.7403,2.81844,"House","Entire home/apt",6,3,3,"$95.00",3,730,0,95,2850
"17","girona","2020-06-29",157327,"Forallac",41.94531,3.11247,"Villa","Entire home/apt",8,4,8,"$600.00",7,90,0,600,18000
"18","girona","2020-06-29",168832,"Saus",42.12516,2.93539,"House","Entire home/apt",10,5,7,"$65.00",5,31,0,91,2730
"19","girona","2020-06-29",179220,"Calonge",41.84794,3.10483,"Apartment","Entire home/apt",6,3,6,"$74.00",3,365,27,103,309
"20","girona","2020-06-29",199994,"Cadaqués",42.28834,3.28159,"Apartment","Entire home/apt",4,3,0,"$55.00",2,365,22,120,960
"21","girona","2020-06-29",236739,"Lloret de Mar",41.69322,2.82221,"Apartment","Entire home/apt",5,2,3,"$72.00",1,1125,0,140.9,4227
"22","girona","2020-06-29",254100,"Ventalló",42.14737,3.02763,"House","Entire home/apt",5,3,4,"$70.00",7,365,29,95,95
"23","girona","2020-06-29",262941,"Palafrugell",41.91841,3.21439,"Apartment","Entire home/apt",12,6,9,"$350.00",4,500,1,450,13050
"24","girona","2020-06-29",265647,"Capmany",42.37355,2.92054,"Apartment","Entire home/apt",6,3,5,"$175.00",7,14,6,181.25,4350
"25","girona","2020-06-29",273037,"Palafrugell",41.91128,3.15674,"House","Entire home/apt",3,1,1,"$80.00",2,30,2,80,2240
"26","girona","2020-06-29",280968,"Palamós",41.85922,3.14773,"Apartment","Entire home/apt",4,1,4,"$60.00",4,31,24,110.833333333333,665
"27","girona","2020-06-29",285455,"Lloret de Mar",41.70803,2.86996,"Apartment","Entire home/apt",9,2,1,"$99.00",3,365,0,99,2970
"28","girona","2020-06-29",296563,"Calonge",41.84711,3.10563,"Apartment","Entire home/apt",8,3,6,"$74.00",3,365,5,74,1850
"29","girona","2020-06-29",304363,"Girona",41.99117,2.82355,"Apartment","Entire home/apt",5,2,4,"$80.00",2,180,27,80,240
"30","girona","2020-06-29",323402,"Lloret de Mar",41.71255,2.85571,"House","Entire home/apt",16,9,17,"$850.00",2,21,23,850,5950
"31","girona","2020-06-29",323679,"Castelló d'Empúries",42.24698,3.1256,"Apartment","Entire home/apt",4,2,3,"$55.00",14,30,0,55,1650
"32","girona","2020-06-29",336151,"Girona",41.97304,2.83103,"Apartment","Entire home/apt",4,2,2,"$75.00",2,1125,30,NA,0
"33","girona","2020-06-29",336886,"Lloret de Mar",41.71972,2.87587,"Apartment","Entire home/apt",4,3,3,"$100.00",5,1125,29,100,100
"34","girona","2020-06-29",342502,"Viladrau",41.84793,2.39315,"Apartment","Entire home/apt",6,3,5,"$95.00",7,1125,23,95,665
"35","girona","2020-06-29",349360,"Girona",41.98876,2.83008,"Apartment","Entire home/apt",2,1,2,"$71.00",3,21,3,71,1917
"36","girona","2020-06-29",359056,"Torroella de Montgrí",42.07944,3.11781,"House","Entire home/apt",8,3,5,"$150.00",2,15,15,150,2250
"37","girona","2020-06-29",378198,"Tossa de Mar",41.71809,2.92824,"House","Entire home/apt",9,4,6,"$120.00",2,1125,22,256.25,2050
"38","girona","2020-06-29",384326,"Cassà de la Selva",41.88737,2.88054,"Bed and breakfast","Private room",3,1,2,"$47.00",1,1125,6,47,1128
"39","girona","2020-06-29",386468,"Fontanals de Cerdanya",42.39768,1.92006,"Townhouse","Entire home/apt",6,3,5,"$90.00",31,120,29,85,85
"40","girona","2020-06-29",398377,"Begur",41.95506,3.20566,"House","Private room",5,2,7,"$55.00",1,30,16,67.5,945
"41","girona","2020-06-29",398498,"Roses",42.24432,3.1997,"Apartment","Entire home/apt",4,2,4,"$165.00",7,60,17,165,2145
"42","girona","2020-06-29",401885,"Cadaqués",42.28988,3.28225,"House","Entire home/apt",10,5,10,"$260.00",4,1125,0,260,7800
"43","girona","2020-06-29",406276,"Cadaqués",42.28955,3.2779,"Apartment","Entire home/apt",3,1,2,"$80.00",3,1125,8,80,1760
"44","girona","2020-06-29",406360,"Cadaqués",42.28822,3.2822,"Loft","Entire home/apt",2,1,2,"$63.00",2,1125,17,63,819
"45","girona","2020-06-29",406377,"Cadaqués",42.28982,3.28278,"Loft","Entire home/apt",2,1,2,"$68.00",3,365,19,68,748
"46","girona","2020-06-29",406398,"Cadaqués",42.28862,3.2818,"Apartment","Entire home/apt",3,1,2,"$90.00",3,365,19,90,990
"47","girona","2020-06-29",406418,"Cadaqués",42.28855,3.2807,"Condominium","Entire home/apt",3,1,2,"$97.00",2,365,18,97,1164
