"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","bordeaux","2020-05-25",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"House","Entire home/apt",12,5,8,"$24.00",2,21,0,275,8250
"2","bordeaux","2020-05-25",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"House","Entire home/apt",6,3,3,"$125.00",4,15,29,180,180
"3","bordeaux","2020-05-25",218103,"Bgles",44.81418,-0.54842,"Apartment","Entire home/apt",4,1,1,"$100.00",2,21,25,100,500
"4","bordeaux","2020-05-25",222887,"Bordeaux Sud",44.83611,-0.5664,"Apartment","Entire home/apt",4,2,3,"$175.00",3,90,24,137,822
"5","bordeaux","2020-05-25",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Apartment","Entire home/apt",3,1,1,"$155.00",3,90,16,126,1764
"6","bordeaux","2020-05-25",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Apartment","Entire home/apt",6,2,4,"$195.00",3,90,29,137,137
"7","bordeaux","2020-05-25",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Apartment","Entire home/apt",3,0,1,"$79.00",1,1125,27,45,135
"8","bordeaux","2020-05-25",365993,"Bgles",44.81149,-0.55825,"Apartment","Entire home/apt",6,2,4,"$85.00",5,30,1,85,2465
"9","bordeaux","2020-05-25",400306,"La Bastide",44.8439,-0.55831,"Condominium","Entire home/apt",2,1,1,"$59.00",2,1125,0,60.5666666666667,1817
"10","bordeaux","2020-05-25",403245,"Bordeaux Sud",44.83385,-0.57033,"Apartment","Entire home/apt",3,1,2,"$59.00",2,31,0,59,1770
"11","bordeaux","2020-05-25",408270,"Bgles",44.81412,-0.54641,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,21,85,765
"12","bordeaux","2020-05-25",410267,"Bgles",44.81494,-0.54799,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,19,85,935
"13","bordeaux","2020-05-25",412475,"Bgles",44.81428,-0.54875,"Apartment","Entire home/apt",4,1,1,"$85.00",2,21,25,85,425
"14","bordeaux","2020-05-25",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Apartment","Private room",2,1,1,"$45.00",2,1125,29,45,45
"15","bordeaux","2020-05-25",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Apartment","Private room",1,1,1,"$30.00",2,1125,26,31,124
"16","bordeaux","2020-05-25",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"House","Entire home/apt",5,4,4,"$110.00",2,1125,0,110,3300
"17","bordeaux","2020-05-25",457462,"Talence",44.80935,-0.59991,"Apartment","Entire home/apt",4,2,2,"$75.00",2,21,0,75,2250
"18","bordeaux","2020-05-25",457640,"Talence",44.80907,-0.60034,"Apartment","Entire home/apt",4,2,2,"$80.00",2,30,26,95,380
"19","bordeaux","2020-05-25",458580,"Bordeaux Sud",44.83424,-0.57022,"Apartment","Entire home/apt",4,1,2,"$35.00",28,300,0,35,1050
